"macro_code","macro_name_sil","member_code","member_status","in_linguameta","member_name_linguameta","member_name_sil","member_endonym","member_n_speakers","member_endangerment","member_glottocode","names_differ"
"luy","Luyia","lri","A",TRUE,"Marachi","Marachi","Olumarachi",160000,"Not endangered","mara1393",FALSE
"luy","Luyia","lrm","A",TRUE,"Marama","Marama","OluMarama",150000,"Not endangered","mara1392",FALSE
"luy","Luyia","lsm","A",TRUE,"Saamia","Saamia","Olusaamia",480000,"Not endangered","saam1283",FALSE
"luy","Luyia","lto","A",TRUE,"Tsotso","Tsotso",NA,120000,"Not endangered","tsot1241",FALSE
"luy","Luyia","lts","A",TRUE,"Tachoni","Tachoni",NA,120000,"Not endangered","tach1242",FALSE
"luy","Luyia","lwg","A",TRUE,"Wanga","Wanga","Oluwanga",310000,"Not endangered","wang1294",FALSE
"luy","Luyia","nle","A",TRUE,"East Nyala","East Nyala","LuNyala",270000,"Not endangered","east2409",FALSE
"luy","Luyia","nyd","A",TRUE,"Nyore","Nyore","Olunyore",310000,"Not endangered","nyor1244",FALSE
"luy","Luyia","rag","A",TRUE,"Logooli","Logooli","Lulogooli",620000,"Not endangered","logo1258",FALSE
"man","Mandingo","emk","A",TRUE,"Eastern Maninkakan","Eastern Maninkakan",NA,7100000,"Not endangered","east2426",FALSE
"man","Mandingo","mku","A",TRUE,"Konyanka Maninka","Konyanka Maninka","Maninkakan",210000,"Not endangered","kony1250",FALSE
"man","Mandingo","mlq","A",TRUE,"Western Maninkakan","Western Maninkakan",NA,1600000,"Not endangered","west2500",FALSE
"man","Mandingo","mnk","A",TRUE,"Mandinka","Mandinka",NA,2100000,"Not endangered","mand1436",FALSE
"man","Mandingo","msc","A",TRUE,"Sankaran Maninka","Sankaran Maninka",NA,3300000,"Not endangered","sank1253",FALSE
"man","Mandingo","mwk","A",TRUE,"Kita Maninkakan","Kita Maninkakan",NA,980000,"Not endangered","kita1249",FALSE
"man","Mandingo","myq","R",FALSE,NA,"Forest Maninka",NA,NA,NA,NA,NA
"mlg","Malagasy","bhr","A",TRUE,"Bara Malagasy","Bara Malagasy",NA,720000,"Not endangered","bara1369",FALSE
"mlg","Malagasy","bjq","R",FALSE,NA,"Southern Betsimisaraka Malagasy",NA,NA,NA,NA,NA
"mlg","Malagasy","bmm","A",TRUE,"Northern Betsimisaraka Malagasy","Northern Betsimisaraka Malagasy","Betsimisaraka",1300000,"Not endangered","nort2890",FALSE
"mlg","Malagasy","bzc","A",TRUE,"Southern Betsimisaraka Malagasy","Southern Betsimisaraka Malagasy","Betsimisaraka",2e+06,"Not endangered","sout2920",FALSE
"mlg","Malagasy","msh","A",TRUE,"Masikoro Malagasy","Masikoro Malagasy",NA,550000,"Not endangered","masi1268",FALSE
