"municipality","department","muni_anexo","file","size_kb","id_muni","qid","muni_gadm","commons_filename","commons_url","mid","upload_date","status"
"Teoponte","La Paz","Teoponte","output/locator_maps/muni-maps-final/Teoponte_muni_locator_map.svg",2837.4,"020608","Q692960","Teoponte","Teoponte muni locator map.svg","https://commons.wikimedia.org/wiki/File:Teoponte_muni_locator_map.svg","M192031064","2026-05-15","uploaded"
"Tiahuanaco","La Paz","Tiahuanaco","output/locator_maps/muni-maps-final/Tiahuanaco_muni_locator_map.svg",2837.4,"020803","Q681960","Tiahuanacu","Tiahuanaco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tiahuanaco_muni_locator_map.svg","M192031080","2026-05-15","uploaded"
"Tipuani","La Paz","Tipuani","output/locator_maps/muni-maps-final/Tipuani_muni_locator_map.svg",2837.4,"020606","Q1585089","Tipuani","Tipuani muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tipuani_muni_locator_map.svg","M192031089","2026-05-15","uploaded"
"Tito Yupanqui","La Paz","Tito Yupanqui","output/locator_maps/muni-maps-final/Tito_Yupanqui_muni_locator_map.svg",2837.4,"021703","Q1552084","Tito Yupanqui","Tito Yupanqui muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tito_Yupanqui_muni_locator_map.svg","M192031100","2026-05-15","uploaded"
"Umala","La Paz","Umala","output/locator_maps/muni-maps-final/Umala_muni_locator_map.svg",2837.4,"021302","Q490956","Umala","Umala muni locator map.svg","https://commons.wikimedia.org/wiki/File:Umala_muni_locator_map.svg","M192031111","2026-05-15","uploaded"
"Viacha","La Paz","Viacha","output/locator_maps/muni-maps-final/Viacha_muni_locator_map.svg",2837.4,"020801","Q1544198","Viacha","Viacha muni locator map.svg","https://commons.wikimedia.org/wiki/File:Viacha_muni_locator_map.svg","M192031120","2026-05-15","uploaded"
"Ancoraimes","La Paz","Ancoraimes","output/locator_maps/muni-maps-final/Ancoraimes_muni_locator_map.svg",2837.4,"020202","Q224511","Villa Ancoraimes","Ancoraimes muni locator map.svg","https://commons.wikimedia.org/wiki/File:Ancoraimes_muni_locator_map.svg","M192031127","2026-05-15","uploaded"
"Licoma Pampa","La Paz","Licoma Pampa","output/locator_maps/muni-maps-final/Licoma_Pampa_muni_locator_map.svg",2837.4,"021006","Q1544480","Villa Libertad Licoma","Licoma Pampa muni locator map.svg","https://commons.wikimedia.org/wiki/File:Licoma_Pampa_muni_locator_map.svg","M192031139","2026-05-15","uploaded"
"Waldo Ballivián","La Paz","Waldo Ballivián","output/locator_maps/muni-maps-final/Waldo_Ballivian_muni_locator_map.svg",2837.4,"020306","Q1481997","Waldo Ballivian","Waldo Ballivián muni locator map.svg","https://commons.wikimedia.org/wiki/File:Waldo_Ballivián_muni_locator_map.svg","M192031150","2026-05-15","uploaded"
"Yaco","La Paz","Yaco","output/locator_maps/muni-maps-final/Yaco_muni_locator_map.svg",2837.4,"020903","Q1552018","Yaco","Yaco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Yaco_muni_locator_map.svg","M192031162","2026-05-15","uploaded"
"Yanacachi","La Paz","Yanacachi","output/locator_maps/muni-maps-final/Yanacachi_muni_locator_map.svg",2837.4,"021103","Q284758","Yanacachi","Yanacachi muni locator map.svg","https://commons.wikimedia.org/wiki/File:Yanacachi_muni_locator_map.svg","M192031172","2026-05-15","uploaded"
"Santiago de Andamarca","Oruro","Santiago de Andamarca","output/locator_maps/muni-maps-final/Santiago_de_Andamarca_muni_locator_map.svg",2837.4,"041201","Q647778","Andamarca","Santiago de Andamarca muni locator map.svg","https://commons.wikimedia.org/wiki/File:Santiago_de_Andamarca_muni_locator_map.svg","M192031185","2026-05-15","uploaded"
"Antequera","Oruro","Antequera","output/locator_maps/muni-maps-final/Antequera_muni_locator_map.svg",2837.4,"040603","Q647847","Antequera","Antequera muni locator map.svg","https://commons.wikimedia.org/wiki/File:Antequera_muni_locator_map.svg","M192031197","2026-05-15","uploaded"
