"municipality","department","muni_anexo","file","size_kb"
"Puerto Acosta","La Paz","Puerto Acosta","output/locator_maps/workbench_hd_3/Puerto_Acosta_muni_locator_map.svg",7515.1
"Puerto Mayor de Carabuco","La Paz","Puerto Carabuco","output/locator_maps/workbench_hd_3/Puerto_Carabuco_muni_locator_map.svg",7515
"Puerto Mayor de Guaqui","La Paz","Guaqui","output/locator_maps/workbench_hd_3/Guaqui_muni_locator_map.svg",7514.5
"Puerto Pérez","La Paz","Puerto Pérez","output/locator_maps/workbench_hd_3/Puerto_Perez_muni_locator_map.svg",7514.9
"Quiabaya","La Paz","Quiabaya","output/locator_maps/workbench_hd_3/Quiabaya_muni_locator_map.svg",7514.4
"Quime","La Paz","Quime","output/locator_maps/workbench_hd_3/Quime_muni_locator_map.svg",7515.4
"San Buenaventura","La Paz","San Buenaventura","output/locator_maps/workbench_hd_3/San_Buenaventura_muni_locator_map.svg",7516.5
"San Pedro de Curahuara","La Paz","San Pedro de Curahuara","output/locator_maps/workbench_hd_3/San_Pedro_de_Curahuara_muni_locator_map.svg",7515.1
"San Pedro de Tiquina","La Paz","San Pedro de Tiquina","output/locator_maps/workbench_hd_3/San_Pedro_de_Tiquina_muni_locator_map.svg",7514.8
"Santiago de Callapa","La Paz","Callapa","output/locator_maps/workbench_hd_3/Callapa_muni_locator_map.svg",7515.4
"Santiago de Huata","La Paz","Santiago de Huata","output/locator_maps/workbench_hd_3/Santiago_de_Huata_muni_locator_map.svg",7514.2
"Santiago de Machaca","La Paz","Santiago de Machaca","output/locator_maps/workbench_hd_3/Santiago_de_Machaca_muni_locator_map.svg",7515.5
"Sapahaqui","La Paz","Sapahaqui","output/locator_maps/workbench_hd_3/Sapahaqui_muni_locator_map.svg",7515.3
"Sicasica","La Paz","Sica Sica","output/locator_maps/workbench_hd_3/Sica_Sica_muni_locator_map.svg",7515.8
"Sorata","La Paz","Sorata","output/locator_maps/workbench_hd_3/Sorata_muni_locator_map.svg",7515.7
"Tacacoma","La Paz","Tacacoma","output/locator_maps/workbench_hd_3/Tacacoma_muni_locator_map.svg",7515.4
"Taraco","La Paz","Taraco","output/locator_maps/workbench_hd_3/Taraco_muni_locator_map.svg",7514.5
"Teoponte","La Paz","Teoponte","output/locator_maps/workbench_hd_3/Teoponte_muni_locator_map.svg",7515.6
"Tiahuanacu","La Paz","Tiahuanaco","output/locator_maps/workbench_hd_3/Tiahuanaco_muni_locator_map.svg",7514.7
"Tipuani","La Paz","Tipuani","output/locator_maps/workbench_hd_3/Tipuani_muni_locator_map.svg",7514.7
