CodigoMesa,Descripcion,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,NumeroMesa,InscritosHabilitados,Voto1,Voto2,Voto3,Voto4,Voto5,Voto6,Voto7,Voto8,Voto9,Voto10,Voto11,Voto12,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
100514,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,1,320,22,2,6,0,14,3,2,0,8,34,0,0,91,1,40,0,40,132,91,132
100524,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,2,320,25,1,4,0,13,5,3,0,11,36,0,0,98,3,32,0,32,133,98,133
100534,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,3,320,24,1,4,0,12,2,5,0,10,25,0,0,83,5,42,0,42,130,83,130
100544,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,4,320,15,0,10,0,9,3,2,0,10,38,0,0,87,5,44,4,48,140,87,140
100554,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,5,320,26,0,2,0,7,3,2,0,5,38,0,0,83,3,52,3,55,141,83,141
100564,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,6,320,20,2,6,0,15,4,2,0,9,44,0,0,102,3,36,0,36,141,102,141
100574,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,7,320,13,1,12,0,19,2,2,0,7,37,0,0,93,1,37,1,38,132,93,132
100584,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25158,Colegio Nº 18 Dr. Alberto Larroque,8,286,20,4,8,0,13,0,4,0,9,26,0,0,84,3,32,1,33,120,84,120
100594,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,11,259,12,0,10,0,12,1,3,0,5,22,0,0,65,1,38,2,40,106,65,106
100604,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,5,320,19,1,8,0,7,3,1,0,2,29,0,0,70,3,57,2,59,132,70,132
100614,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,6,320,15,0,5,0,8,7,5,0,4,23,0,0,67,7,50,1,51,125,67,125
100624,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,7,320,19,0,6,0,12,2,3,0,5,25,0,0,72,3,45,0,45,120,72,120
100634,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,8,320,14,1,8,0,16,5,2,0,11,21,0,0,78,3,51,0,51,132,78,132
100644,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,9,320,12,2,9,0,11,8,2,0,7,24,0,0,75,1,37,2,39,115,75,115
100654,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,10,320,18,1,7,0,6,1,2,0,11,31,0,0,77,7,50,0,50,134,77,134
100664,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,1,320,23,1,9,0,12,2,5,0,11,32,0,0,95,4,48,1,49,148,95,148
100674,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,2,320,26,0,15,0,13,5,2,0,4,24,0,0,89,5,42,0,42,136,89,136
100684,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,3,320,22,1,10,0,8,3,7,0,5,31,0,0,87,2,49,1,50,139,87,139
100694,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25160,Escuela N° 12 De 19 José Enrique Rodo,4,320,15,1,8,0,13,5,3,0,6,25,0,0,76,3,49,1,50,129,76,129
100704,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,1,320,20,1,9,0,19,3,5,0,3,17,0,0,77,7,27,0,27,111,77,111
100714,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,2,320,15,0,4,0,8,2,2,0,3,20,0,0,54,2,39,3,42,98,54,98
100724,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,3,320,15,1,4,0,13,0,3,0,7,17,0,0,60,6,36,0,36,102,60,102
100734,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,4,320,22,2,2,0,13,3,4,0,4,18,0,0,68,2,37,2,39,109,68,109
100744,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25161,Centro Educativo Ns  N° 30  De 8 De Nivel Secundario,5,320,16,0,7,0,13,2,3,0,2,20,0,0,63,3,28,1,29,95,63,95
